id,name,credits,college,prereqs,subject,department
ANTH 194P,Practicum in Field and Laboratory Analysis,8,College of Letters and Science,,ANTH,Anthropology
ANTH 195A,Anthropology Honors Program: Research Design,4,College of Letters and Science,,ANTH,Anthropology
ANTH 195B,Anthropology Honors Program: INDIVIDUAL STUDY PART I,4,College of Letters and Science,ANTH 195A,ANTH,Anthropology
ANTH 195C,Anthropology Honors Program: INDIVIDUAL STUDY PART II,4,College of Letters and Science,,ANTH,Anthropology
ANTH 196,Archaeology of Religion,4,College of Letters and Science,,ANTH,Anthropology
ANTH 197,Special Courses,4,College of Letters and Science,,ANTH,Anthropology
ANTH 197AC,Special Courses,4,College of Letters and Science,,ANTH,Anthropology
ANTH 197BA,Special Courses,4,College of Letters and Science,,ANTH,Anthropology
ANTH 197BW,Biology of Women,4,College of Letters and Science,,ANTH,Anthropology
ANTH 197CO,Special Courses,4,College of Letters and Science,,ANTH,Anthropology
ANTH 197CT,Caring for Transformation: The Affect of Social Justice,4,College of Letters and Science,,ANTH,Anthropology
ANTH 197DB,Special Courses,4,College of Letters and Science,,ANTH,Anthropology
ANTH 197DJ,Special Courses,4,College of Letters and Science,,ANTH,Anthropology
ANTH 197DK,Special Courses,4,College of Letters and Science,,ANTH,Anthropology
ANTH 197DL,Special Courses,4,College of Letters and Science,,ANTH,Anthropology
ANTH 197EB,Ethnobotany and Economic Botany: Human Uses of Plants,4,College of Letters and Science,,ANTH,Anthropology
ANTH 197EE,Special Courses,4,College of Letters and Science,,ANTH,Anthropology
ANTH 197ER,Sensory Ecologies,4,College of Letters and Science,,ANTH,Anthropology
ANTH 197ES,Special Courses,4,College of Letters and Science,,ANTH,Anthropology
ANTH 197EW,Special Courses,4,College of Letters and Science,,ANTH,Anthropology
ANTH 197FM,Field Methods in Biocultural Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 197FS,Special Courses,4,College of Letters and Science,,ANTH,Anthropology
ANTH 197GI,Introduction to Geographic Information Systems and Spatial Analysis for Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 197IL,Pathways of Indigenous Laws in Mexico,4,College of Letters and Science,,ANTH,Anthropology
ANTH 197JB,Special Courses,4,College of Letters and Science,,ANTH,Anthropology
ANTH 197JH,Special Courses,4,College of Letters and Science,,ANTH,Anthropology
ANTH 197LG,Special Courses,4,College of Letters and Science,,ANTH,Anthropology
ANTH 197LS,Special Courses,4,College of Letters and Science,,ANTH,Anthropology
ANTH 197MB,Special Courses,4,College of Letters and Science,,ANTH,Anthropology
ANTH 197MK,Special Courses,4,College of Letters and Science,,ANTH,Anthropology
ANTH 197SM,European Prehistory,4,College of Letters and Science,,ANTH,Anthropology
